mean,stdev,bias,skew,,mean,bias equation,skew equation
5,2,-1,2.328574765,,,,
5,4,-1.1,1.380332144,,,,
5,6,-1.11,0.908692457,,,,
5,8,-1.111,0.656481571,,,,
5,10,-1.1111,0.512971933,,,,
5,12,-1.11111,0.422067445,,,,
5,14,-1.111111,0.366159639,,,,
5,16,-1.1111111,0.301851128,,,,
5,18,-1.11111111,0.266186745,,,,
5,20,-1.111111111,0.237032309,,,,
5,22,-1.111111111,0.204559098,,,,
5,24,-1.111111111,0.185012439,,,,
5,26,-1.111111111,0.165172072,,,,
5,28,-1.111111111,0.14572414,,,,
5,30,-1.111111111,0.130856461,,,,
5,32,-1.111111111,0.113321517,,,,
5,34,-1.111111111,0.100759197,,,,
5,36,-1.111111111,0.084984586,,,,
5,38,-1.111111111,0.073252857,,,,
5,40,-1.111111111,0.064312028,,,,
10,2,-1.111111111,2.387562761,,,,
10,4,-1.111111111,1.384608846,,,,
10,6,-1.111111111,0.906890845,,,,
10,8,-1.111111111,0.659771368,,,,
10,10,-1.111111111,0.52423044,,,,
10,12,-1.111111111,0.427008191,,,,
10,14,-1.111111111,0.356709151,,,,
10,16,-1.111111111,0.30885999,,,,
10,18,-1.111111111,0.270476924,,,,
10,20,-1.111111111,0.239194197,,,,
10,22,-1.111111111,0.214188756,,,,
10,24,-1.111111111,0.189644624,,,,
10,26,-1.111111111,0.164779167,,,,
10,28,-1.111111111,0.145017929,,,,
10,30,-1.111111111,0.1299664,,,,
10,32,-1.111111111,0.113040501,,,,
10,34,-1.111111111,0.097832915,,,,
10,36,-1.111111111,0.083088653,,,,
10,38,-1.111111111,0.072345366,,,,
10,40,-1.111111111,0.064221279,,,,
15,2,-1.111111111,2.248103754,,,,
15,4,-1.111111111,1.371160088,,,,
15,6,-1.111111111,0.905703727,,,,
15,8,-1.111111111,0.668986476,,,,
15,10,-1.111111111,0.520767929,,,,
15,12,-1.111111111,0.422657089,,,,
15,14,-1.111111111,0.359397365,,,,
15,16,-1.111111111,0.306915348,,,,
15,18,-1.111111111,0.262864467,,,,
15,20,-1.111111111,0.232916032,,,,
15,22,-1.111111111,0.210871705,,,,
15,24,-1.111111111,0.183705276,,,,
15,26,-1.111111111,0.163296746,,,,
15,28,-1.111111111,0.143713849,,,,
15,30,-1.111111111,0.127162667,,,,
15,32,-1.111111111,0.112465681,,,,
15,34,-1.111111111,0.097934966,,,,
15,36,-1.111111111,0.084694187,,,,
15,38,-1.111111111,0.073869925,,,,
15,40,-1.111111111,0.062629243,,,,
20,2,-1.111111111,2.315663531,,,,
20,4,-1.111111111,1.369021117,,,,
20,6,-1.111111111,0.906393615,,,,
20,8,-1.111111111,0.65984094,,,,
20,10,-1.111111111,0.514803165,,,,
20,12,-1.111111111,0.431292999,,,,
20,14,-1.111111111,0.366408606,,,,
20,16,-1.111111111,0.317048199,,,,
20,18,-1.111111111,0.271297069,,,,
20,20,-1.111111111,0.236944331,,,,
20,22,-1.111111111,0.206636852,,,,
20,24,-1.111111111,0.185796433,,,,
20,26,-1.111111111,0.162650989,,,,
20,28,-1.111111111,0.146538308,,,,
20,30,-1.111111111,0.128651141,,,,
20,32,-1.111111111,0.113816168,,,,
20,34,-1.111111111,0.097804126,,,,
20,36,-1.111111111,0.085486744,,,,
20,38,-1.111111111,0.073159493,,,,
20,40,-1.111111111,0.062558199,,,,
25,2,-1.111111111,2.324980954,,,,
25,4,-1.111111111,1.396161933,,,,
25,6,-1.111111111,0.919720585,,,,
25,8,-1.111111111,0.657781336,,,,
25,10,-1.111111111,0.511232275,,,,
25,12,-1.111111111,0.417850568,,,,
25,14,-1.111111111,0.358229758,,,,
25,16,-1.111111111,0.313075119,,,,
25,18,-1.111111111,0.269394195,,,,
25,20,-1.111111111,0.232006573,,,,
25,22,-1.111111111,0.20830187,,,,
25,24,-1.111111111,0.18793804,,,,
25,26,-1.111111111,0.16747149,,,,
25,28,-1.111111111,0.143707679,,,,
25,30,-1.111111111,0.128257334,,,,
25,32,-1.111111111,0.111807136,,,,
25,34,-1.111111111,0.098844035,,,,
25,36,-1.111111111,0.087824195,,,,
25,38,-1.111111111,0.07626483,,,,
25,40,-1.111111111,0.063514841,,,,
30,2,-0.959111111,2.438521637,,,,
30,4,-0.948911111,1.450810122,,,,
30,6,-0.953891111,0.937540411,,,,
30,8,-0.963389111,0.684927001,,,,
30,10,-0.982338911,0.544739234,,,,
30,12,-1.008233891,0.443962427,,,,
30,14,-1.011823389,0.384081256,,,,
30,16,-1.026182339,0.321280155,,,,
30,18,-1.031618234,0.269036366,,,,
30,20,-1.072161823,0.243486413,,,,
30,22,-1.085216182,0.207879799,,,,
30,24,-1.093521618,0.189294952,,,,
30,26,-1.095352162,0.164835347,,,,
30,28,-1.101535216,0.144574875,,,,
30,30,-1.103153522,0.129201145,,,,
30,32,-1.110315352,0.112346613,,,,
30,34,-1.110031535,0.097914196,,,,
30,36,-1.110003154,0.085417984,,,,
30,38,-1.111000315,0.074588413,,,,
30,40,-1.109100032,0.06352811,,,,
35,2,-0.727910003,2.677777889,,,,
35,4,-0.691791,1.57729522,,,,
35,6,-0.6841791,1.030323156,,,,
35,8,-0.70941791,0.754090019,,,,
35,10,-0.710941791,0.581091013,,,,
35,12,-0.737094179,0.47292343,,,,
35,14,-0.748709418,0.407257023,,,,
35,16,-0.763870942,0.343912814,,,,
35,18,-0.785387094,0.293098877,,,,
35,20,-0.812538709,0.256176703,,,,
35,22,-0.813253871,0.22081838,,,,
35,24,-0.821325387,0.19664712,,,,
35,26,-0.891132539,0.173932832,,,,
35,28,-0.940113254,0.145048697,,,,
35,30,-0.978011325,0.131469521,,,,
35,32,-0.991801133,0.113003816,,,,
35,34,-1.045180113,0.09895484,,,,
35,36,-1.034518011,0.08639948,,,,
35,38,-1.060451801,0.073322557,,,,
35,40,-1.07904518,0.064318998,,,,
40,2,-0.512904518,2.73347523,,,,
40,4,-0.457290452,1.651823777,,,,
